nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
"Maine et Loire";Angers;"Beaux Arts";120;PM10;18;microg/m3;"moyenne journalière";V;2021-03-06;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;22;microg/m3;"moyenne journalière";V;2021-03-07;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;31;microg/m3;"moyenne journalière";V;2021-03-08;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;39;microg/m3;"moyenne journalière";V;2021-03-09;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;33;microg/m3;"moyenne journalière";V;2021-03-10;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;14;microg/m3;"moyenne journalière";V;2021-03-11;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;14;microg/m3;"moyenne journalière";V;2021-03-12;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;;;"moyenne journalière";;2021-03-13;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;21;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;30;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;41;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;29;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;18;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;16;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;18;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;24;microg/m3;"moyenne journalière";V;2021-03-07;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;34;microg/m3;"moyenne journalière";V;2021-03-08;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;37;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;22;microg/m3;"moyenne journalière";V;2021-03-10;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;25;microg/m3;"moyenne journalière";V;2021-03-11;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;23;microg/m3;"moyenne journalière";V;2021-03-12;UTC
Loire-Atlantique;"Basse Loire";Plessis;178;PM10;;;"moyenne journalière";;2021-03-13;UTC
Vendée;Vendée;"La Tardière";124;PM10;18;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Vendée;Vendée;"La Tardière";124;PM10;28;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Vendée;Vendée;"La Tardière";124;PM10;27;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Vendée;Vendée;"La Tardière";124;PM10;33;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Vendée;Vendée;"La Tardière";124;PM10;16;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Vendée;Vendée;"La Tardière";124;PM10;16;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Vendée;Vendée;"La Tardière";124;PM10;19;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Vendée;Vendée;"La Tardière";124;PM10;22;microg/m3;"moyenne journalière";V;2021-03-07;UTC
Vendée;Vendée;"La Tardière";124;PM10;31;microg/m3;"moyenne journalière";V;2021-03-08;UTC
Vendée;Vendée;"La Tardière";124;PM10;46;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Vendée;Vendée;"La Tardière";124;PM10;34;microg/m3;"moyenne journalière";V;2021-03-10;UTC
Vendée;Vendée;"La Tardière";124;PM10;9;microg/m3;"moyenne journalière";V;2021-03-11;UTC
Vendée;Vendée;"La Tardière";124;PM10;11;microg/m3;"moyenne journalière";V;2021-03-12;UTC
Vendée;Vendée;"La Tardière";124;PM10;;;"moyenne journalière";;2021-03-13;UTC
Loire-Atlantique;"Basse Loire";Frossay;68;PM10;18;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Loire-Atlantique;"Basse Loire";Frossay;68;PM10;29;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Loire-Atlantique;"Basse Loire";Frossay;68;PM10;40;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Loire-Atlantique;"Basse Loire";Frossay;68;PM10;27;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Loire-Atlantique;"Basse Loire";Frossay;68;PM10;13;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Loire-Atlantique;"Basse Loire";Frossay;68;PM10;14;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Loire-Atlantique;"Basse Loire";Frossay;68;PM10;19;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Loire-Atlantique;"Basse Loire";Frossay;68;PM10;22;microg/m3;"moyenne journalière";V;2021-03-07;UTC
